City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,dudinka,69.4058,86.1778,50.09,50,98,14.25,RU,1686240647
156,severo-yeniseyskiy,60.3725,93.0408,67.06,68,2,4.41,RU,1686240647
157,gulabpura,25.9,74.6667,96.6,25,1,11.36,IN,1686240647
158,harper,4.375,-7.7169,80.47,83,93,10.11,LR,1686240648
159,inhambane,-23.865,35.3833,73.81,78,0,12.8,MZ,1686240648
160,ta`u,-14.2336,-169.5144,80.8,82,81,12.35,AS,1686240648
161,kavaratti,10.5669,72.642,85.86,76,100,17.22,IN,1686240648
162,ketchikan,55.3422,-131.6461,63.07,67,0,11.5,US,1686240649
163,port alfred,-33.5906,26.891,62.19,65,3,1.01,ZA,1686240649
164,puerto deseado,-47.7503,-65.8938,53.24,60,97,25.41,AR,1686240649
165,moyamba,8.1667,-12.4333,83.34,82,100,4.07,SL,1686240649
166,gusinoozyorsk,51.2833,106.5,58.55,62,46,6.58,RU,1686240649
167,el tigre,8.8875,-64.2454,89.29,43,46,14.9,VE,1686240649
168,midvagur,62.0511,-7.1939,52.63,82,100,9.22,FO,1686240649
169,praia da vitoria,38.7333,-27.0667,65.26,72,95,15.46,PT,1686240649
170,koulamoutou,-1.1303,12.4736,78.94,89,67,2.33,GA,1686240650
171,puerto ayora,-0.7393,-90.3518,85.96,86,100,5.99,EC,1686240650
172,hermanus,-34.4187,19.2345,62.8,85,96,22.39,ZA,1686240650
173,trujillo,-8.116,-79.03,75.16,83,75,5.75,PE,1686240650
174,tshabong,-26.05,22.45,64.13,25,0,8.52,BW,1686240650
175,mafinga,-7.25,35.0667,76.87,44,79,5.17,TZ,1686240650
176,yakeshi,49.2833,120.7333,44.65,96,38,5.7,CN,1686240650
177,la passe,45.5549,-0.8967,83.01,63,100,5.35,FR,1686240650
178,mbandaka,0.0487,18.2603,81.79,70,79,1.25,CD,1686240650
179,smithers,54.7804,-127.1743,68.36,48,46,1.63,CA,1686240650
180,haimen,23.1935,116.6142,80.62,90,60,6.35,CN,1686240651
181,priozersk,61.0393,30.1291,53.94,100,100,8.37,RU,1686240651
182,lubin,51.4009,16.2015,75.7,47,85,6.82,PL,1686240651
183,newman,37.3138,-121.0208,66.54,70,25,3.0,US,1686240439
184,betio village,1.358,172.9211,82.49,79,100,12.01,KI,1686240651
185,santa sylvina,-27.8326,-61.1375,87.06,37,48,15.17,AR,1686240651
186,berezovyy,51.6667,135.7,56.21,96,100,3.76,RU,1686240651
187,tual,-5.6667,132.75,81.7,82,80,13.33,ID,1686240651
188,nizhniy odes,63.6445,54.856,47.59,48,94,2.62,RU,1686240651
189,quesnel,52.9999,-122.5029,68.05,45,54,1.9,CA,1686240651
190,saint-philippe,-21.3585,55.7679,72.99,82,42,10.45,RE,1686240652
191,port mathurin,-19.6833,63.4167,76.73,73,2,20.87,MU,1686240652
192,hukumati azrah,34.1736,69.6457,67.8,30,0,2.04,AF,1686240652
193,lobujya,27.95,86.8167,27.41,96,99,2.86,NP,1686240408
194,brookings,44.3114,-96.7984,78.1,69,0,11.5,US,1686240592
195,swan hill,-35.3378,143.5544,54.0,68,25,15.68,AU,1686240652
196,fada,9.5667,8.3,70.2,97,98,2.86,NG,1686240652
197,yellowknife,62.456,-114.3525,51.57,81,87,8.99,CA,1686240481
198,afaahiti,-17.75,-149.2833,73.27,63,87,18.3,PF,1686240652
199,abong mbang,3.9833,13.1833,75.61,88,100,3.22,CM,1686240653
200,yaren,-0.5472,166.916,83.25,77,92,8.28,NR,1686240653
201,west bay,19.3667,-81.4167,87.87,76,40,10.36,KY,1686240653
202,padre bernardo,-15.35,-48.5,87.08,26,16,4.65,BR,1686240653
203,pestravka,52.405,49.9583,63.1,73,66,10.98,RU,1686240653
204,kununurra,-15.7667,128.7333,69.78,78,82,0.0,AU,1686240433
205,saipan,15.1355,145.701,81.3,100,20,3.44,MP,1686240653
206,corner brook,48.9667,-57.9484,65.59,58,65,4.63,CA,1686240599
207,mount pearl,47.5166,-52.7813,60.96,92,29,6.42,CA,1686240653
208,mount isa,-20.7333,139.5,65.97,48,12,11.5,AU,1686240653
